doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,"sequence,"
1,15.04.2026 07:50:00,Chasing the golden hour! ☀️ Weekend vibes are simply the best. ☕️,https://raw.githubusercontent.com/zcchonore1117-alt/stimuli1/main/stimuli1-01.webp,197,39,37,Zach Dunn,@Office_Raga,Sharing my daily thoughts and inspirations.,https://api.dicebear.com/8.x/icons/svg?seed=ZachDunn,33969,,FALSE,filler,A,",",
1,15.04.2026 07:50:00,Chasing the golden hour! ☀️ Weekend vibes are simply the best. ☕️,https://raw.githubusercontent.com/zcchonore1117-alt/stimuli1/main/stimuli1-01.webp,197,39,37,Zach Dunn,@Office_Raga,Sharing my daily thoughts and inspirations.,https://api.dicebear.com/8.x/icons/svg?seed=ZachDunn,33969,,FALSE,filler,B,",",
2,15.04.2026 07:40:00,Less is more. 🏠 Pure minimalist aesthetics for your dream home. 🤍,https://raw.githubusercontent.com/zcchonore1117-alt/stimuli1/main/stimuli1-02.webp,574,33,38,chelseaa,@chelseaao,Sharing my daily thoughts and inspirations.,https://api.dicebear.com/8.x/icons/svg?seed=chelseaa,8018,,FALSE,filler,A,",",
2,15.04.2026 07:40:00,Less is more. 🏠 Pure minimalist aesthetics for your dream home. 🤍,https://raw.githubusercontent.com/zcchonore1117-alt/stimuli1/main/stimuli1-02.webp,574,33,38,chelseaa,@chelseaao,Sharing my daily thoughts and inspirations.,https://api.dicebear.com/8.x/icons/svg?seed=chelseaa,8018,,FALSE,filler,B,",",
3,15.04.2026 07:30:00,Deep blue therapy. 🌊 The ocean has a way of healing the soul. 🐚,https://raw.githubusercontent.com/zcchonore1117-alt/stimuli1/main/stimuli1-03.webp,487,31,6,Military Reporters,@incrediblebha,Sharing my daily thoughts and inspirations.,https://api.dicebear.com/8.x/icons/svg?seed=MilitaryReporters,22441,,FALSE,filler,A,",",
3,15.04.2026 07:30:00,Deep blue therapy. 🌊 The ocean has a way of healing the soul. 🐚,https://raw.githubusercontent.com/zcchonore1117-alt/stimuli1/main/stimuli1-03.webp,487,31,6,Military Reporters,@incrediblebha,Sharing my daily thoughts and inspirations.,https://api.dicebear.com/8.x/icons/svg?seed=MilitaryReporters,22441,,FALSE,filler,B,",",
4,15.04.2026 07:20:00,Found a hidden gem! 🍜 The best secret ramen spot in town. 🤫,https://raw.githubusercontent.com/zcchonore1117-alt/stimuli1/main/stimuli1-04.webp,752,23,6,TechCoFounder Dating,@blondetae,Sharing my daily thoughts and inspirations.,https://api.dicebear.com/8.x/icons/svg?seed=TechCoFounderDating,30077,,FALSE,filler,A,",",
4,15.04.2026 07:20:00,Found a hidden gem! 🍜 The best secret ramen spot in town. 🤫,https://raw.githubusercontent.com/zcchonore1117-alt/stimuli1/main/stimuli1-04.webp,752,23,6,TechCoFounder Dating,@blondetae,Sharing my daily thoughts and inspirations.,https://api.dicebear.com/8.x/icons/svg?seed=TechCoFounderDating,30077,,FALSE,filler,B,",",
5,15.04.2026 07:10:00,Fueling my creativity. ☕️ Minimalist desk setup. 🌿,https://raw.githubusercontent.com/zcchonore1117-alt/stimuli1/main/stimuli1-05.webp,190,21,27,Playamom,@marionste,Sharing my daily thoughts and inspirations.,https://api.dicebear.com/8.x/icons/svg?seed=Playamom,13382,,FALSE,filler,A,",",
5,15.04.2026 07:10:00,Fueling my creativity. ☕️ Minimalist desk setup. 🌿,https://raw.githubusercontent.com/zcchonore1117-alt/stimuli1/main/stimuli1-05.webp,190,21,27,Playamom,@marionste,Sharing my daily thoughts and inspirations.,https://api.dicebear.com/8.x/icons/svg?seed=Playamom,13382,,FALSE,filler,B,",",
